100 0.045 0.825 1.244 4.755 5.946
1000 0.038 0.308 0.476 1.038 1.358
10000 0.034 0.165 0.504 0.758 0.951
100000 0.032 0.155 0.395 0.633 0.781
1000000 0.031 0.152 0.430 0.743 0.848
